OID_,Id,gridcode,Shape_Length,Shape_Area,area
211,139865,30,28.369189083747806,33.746382493761779,363
212,139967,70,26.623833767471641,30.524999997578561,329
213,140067,30,18.864778369438554,17.117382239529391,184
214,140068,70,41.720605699584482,93.525999998673797,1007
215,140069,30,5.635717297484669,1.409020649263760,15
216,140148,30,18.864778369438554,17.117382239529391,184
217,140150,20,64.551886613273695,145.830989545575051,1570
218,140239,70,40.000000000000000,100.000000000000000,1076
219,140241,70,11.597008424532156,5.692367159881070,61
220,140242,30,35.319920760224811,57.918044595245128,623
221,140243,30,0.148006764140211,0.000506695005752,0
222,140330,40,37.495215536519765,77.266000001691282,832
223,140422,30,8.903078603023239,2.819392018503561,30
224,140611,70,18.864778369438554,17.117382239529391,184
225,140700,30,28.809931881052815,43.946500001475215,473
226,140701,40,0.154872035310492,0.001027110011644,0
227,140705,30,18.864778369438554,17.117382239529391,184
228,140804,30,1.187240157912746,0.010566919910291,0
229,140805,30,17.198834212631812,13.547689837646523,146
230,140806,70,17.177724861042044,13.549511638581539,146
231,140891,40,20.000000000000000,25.000000000000000,269
232,140892,40,18.748986063792756,16.009500001091510,172
233,140985,70,251.831647871269041,1623.451945922271079,17475
234,140986,30,17.383765874891306,16.039288982327609,173
235,140987,30,28.001762938802671,38.712674776143359,417
236,141082,70,119.031398934798659,558.253340272173887,6009
237,141190,70,565.935820539649512,4169.027536567129573,44875
238,141191,30,28.369178682262646,33.748535440104504,363
239,141194,70,25.980433007059052,23.862091020131054,257
240,141385,30,18.864778369438554,17.117382239529391,184
241,141469,40,22.253335208665479,23.086811113095212,249
242,141572,20,18.748986062057647,16.009499998763204,172
243,141671,70,17.099863080065969,13.528038611529791,146
244,141673,30,18.864778369471320,17.117352518971828,184
245,141759,30,28.295437062885888,34.138494269237619,367
246,141762,30,18.864778369438554,17.117382239529391,184
247,141763,30,18.748986063890833,16.009545800732880,172
248,141764,70,18.748986063792756,16.009500001091510,172
249,141765,70,217.819503208948049,1073.885027056900526,11559
250,141767,20,28.293658912230317,34.133970126486382,367
251,141853,30,20.000000000000000,25.000000000000000,269
252,141937,70,72.340284408166156,315.555875968497048,3397
253,141939,70,78.685331719143903,242.141197763095676,2606
254,141940,20,18.748986062057647,16.009499998763204,172
255,142024,30,14.900056251289376,11.522812903263617,124
256,142031,20,30.000000000000000,50.000000000000000,538
257,142032,20,20.000000000000000,25.000000000000000,269
258,142033,40,20.000000000000000,25.000000000000000,269
259,142114,30,28.001762938802671,38.712674776143359,417
260,142115,70,18.748986063792756,16.009500001091510,172
261,142116,70,28.295437062885888,34.138494269237619,367
262,142121,30,58.799389925300069,110.992499999701977,1195
263,142122,20,18.748986062057647,16.009499998763204,172
264,142198,70,11.334927841940836,5.374772785015162,58
265,142201,30,14.328908058314637,8.816710568556257,95
266,142296,30,18.864778369438554,17.117382239529391,184
267,142297,30,15.032956080476158,10.576994110012048,114
268,142298,40,18.748986062057647,16.009499998763204,172
269,142383,20,18.748986062057647,16.009499998763204,172
270,142482,70,32.561706961478173,60.468470351079652,651
271,142581,30,18.864778369438554,17.117382239529391,184
272,142582,70,28.295437063109340,34.138286036750699,367
273,142583,70,20.000000000000000,25.000000000000000,269
274,142584,20,28.369189083747806,33.746382493761779,363
275,142650,20,10.584242328999515,4.878260560540798,53
276,142738,70,18.864778370069892,17.117214742204048,184
277,142739,30,18.748986062057647,16.009499998763204,172
278,142824,70,28.104742351465241,33.713938652183955,363
279,142906,30,14.472436830551777,8.523583619941657,92
280,143019,40,43.837871860616069,84.386579261357696,908
281,143109,20,28.295437063583631,34.138046206951429,367
282,143110,70,50.641045626030362,66.413796269148875,715
283,143319,40,18.864778369438554,17.117382239529391,184
284,143411,70,18.864778369438554,17.117382239529391,184
285,143415,40,51.469903745277165,125.234484848758342,1348
286,143511,70,155.959788835266579,795.413915616007102,8562
287,143604,70,229.167799628120463,278.988592774289145,3003
288,143608,30,28.001762938802671,38.712674776143359,417
289,143715,70,0.151502257519458,0.000903555006269,0
290,143897,30,18.864778369438554,17.117382239529391,184
291,143898,20,20.000000000000000,25.000000000000000,269
292,144348,70,129.812201054778058,527.262818363811903,5675
293,144351,30,28.369178682262646,33.748535440104504,363
294,144453,70,18.864778369438554,17.117382239529391,184
295,144456,20,3.831862839331752,0.252436859585687,3
296,144526,20,18.864778369438554,17.117382239529391,184
297,144614,30,18.864778369438554,17.117382239529391,184
298,144615,30,18.864778380091792,17.117388785683033,184
299,144616,30,18.748986063792756,16.009500001091510,172
300,144617,70,20.000000000000000,25.000000000000000,269
301,144699,30,18.864778369438554,17.117382239529391,184
302,144788,70,61.099477763814306,168.294613523192595,1812
303,144789,30,28.295437068123150,34.138616349617791,367
304,144864,30,15.442051143004516,11.740419096795341,126
305,144960,30,18.748986062057647,16.009499998763204,172
306,144961,30,18.864778369438554,17.117382239529391,184
307,144962,30,15.196729162440610,5.057214570367638,54
308,145069,30,18.864778369438554,17.117382239529391,184
309,145070,70,18.864778369438554,17.117382239529391,184
310,145072,70,242.335718688877108,929.829980448753531,10009
311,145160,30,18.864778369438554,17.117382239529391,184
312,145246,70,51.188376333068931,103.897116701939353,1118
313,145247,30,18.864778369438554,17.117382239529391,184
314,145249,70,28.295437062885888,34.138494269237626,367
315,145470,30,28.295437062885888,34.138494269237626,367
